County/City,State,Status,Link,lat,lon
Maynard,MA,Working,https://maynard.patriotproperties.com,42.4321064,-71.4539683
Medway,MA,Working,https://medway.patriotproperties.com,42.1417641,-71.3967256
Melrose,MA,Working,https://melrose.patriotproperties.com,42.4564323,-71.064182
Merrimac,MA,Working,https://merrimac.patriotproperties.com,42.8336778,-71.0024277
Methuen,MA,Working,https://methuen.patriotproperties.com,42.7262016,-71.1908924
Middleton,MA,Working,https://middleton.patriotproperties.com,42.5951005,-71.0159146
Milford,MA,Working,https://milford.patriotproperties.com,42.1428913,-71.5164618
Millville,MA,Working,https://millville.patriotproperties.com,42.0278912,-71.5807103
Milton,MA,Working,https://milton.patriotproperties.com,42.2501425,-71.065573
Montague,MA,Working,https://montague.patriotproperties.com,42.5356426,-72.535088
Montgomery,MA,Working,https://montgomery.patriotproperties.com,42.2072341,-72.8045376
Montpelier,VT,Working,https://montpeliervt.patriotproperties.com,44.2602244,-72.5750364
Nahant,MA,Working,https://nahant.patriotproperties.com,42.4264859,-70.9189371
New Ashford,MA,Working,https://newashford.patriotproperties.com,42.6048767,-73.2394
Newbury,MA,Working,https://newbury.patriotproperties.com,42.7664975,-70.8458022
North Adams,MA,Working,https://northadams.patriotproperties.com,42.6990349,-73.1118997
North Andover,MA,Working,https://northandover.patriotproperties.com,42.6839894,-71.1127065
Northborough,MA,Working,https://northborough.patriotproperties.com,42.3196015,-71.6422408
Northfield,MA,Working,https://northfield.patriotproperties.com,42.6943896,-72.4558506
Norwich,VT,Working,https://norwichvt.patriotproperties.com,43.7136654,-72.3081535
Orange,MA,Working,https://orange.patriotproperties.com,33.585359,-7.6452584
Pembroke,MA,Working,https://pembroke.patriotproperties.com,42.0714907,-70.8092074
Pepperell,MA,Working,https://pepperell.patriotproperties.com,42.6649971,-71.5785951
Peru,MA,Working,https://peru.patriotproperties.com,42.4378398,-73.0461176
Plainville,MA,Working,https://plainville.patriotproperties.com,42.0039928,-71.3356661
Plymouth,MA,Working,https://plymouth.patriotproperties.com,41.9426657,-70.7618592
Raynham,MA,Working,https://raynham.patriotproperties.com,41.9487118,-71.0731008
Reading,MA,Working,https://reading.patriotproperties.com,42.5260297,-71.1020262
Revere,MA,Working,https://revere.patriotproperties.com,42.4084302,-71.0119948
Rochester,NH,Working,https://rochesternh.patriotproperties.com,43.3050631,-70.9753629
Salem,MA,Working,https://salem.patriotproperties.com,42.5195292,-70.8967226
Salisbury,MA,Working,https://salisbury.patriotproperties.com,42.8417577,-70.8606083
Saugus,MA,Working,https://saugus.patriotproperties.com,42.4648183,-71.010051
Shelburne,MA,Working,https://shelburne.patriotproperties.com,42.5907553,-72.6875231
Sherborn,MA,Working,https://sherborn.patriotproperties.com,42.2397842,-71.3701417
Shirley,MA,Working,https://shirley.patriotproperties.com,42.5438051,-71.6497972
Somersworth,NH,Working,https://somersworthnh.patriotproperties.com,43.2625585,-70.8645872
Southborough,MA,Working,https://southborough.patriotproperties.com,42.3056501,-71.5245087
Springfield,VT,Working,https://springfieldvt.patriotproperties.com,43.2988213,-72.4817747
